"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","0","49","","0"
"0","6. Miscellaneous","3","","14","0","","0"
"8","8. Proposal Discussion Forum","0","","10","0","","0"
"0","5. Proposal functionality","0","","1","0","","0"
"9","7. Proposal submission","2","","11","0","","0"
"1","4. Proposal visibility","1","","9","0","","0"
"0","1. Wallet connect","0","","5","0","","0"
"0","Setup","0","","16","0","Authentication","0"
"0","3. DRep registration","2","","7","0","","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
"5","6. Miscellaneous","3","","21","0","6A. Should be accessible from mobile","0"
"0","Setup","2","","1","0","Cleanup","0"
"1","Setup","1","","0","0","Register DRep","0"
"0","Setup","0","","1","0","Faucet","0"
"6","2. Delegation","0","","2","0","","0"
