"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"5","6. Miscellaneous","2","","29","0","6A. Should be accessible from mobile","0"
"0","5. Proposal functionality","0","","12","0","","0"
"0","3. DRep registration","1","","20","0","","0"
"0","2. Delegation","1","","25","1","","0"
"8","8. Proposal Discussion Forum","0","","10","0","","0"
"0","4. Proposal visibility","0","","16","1","","0"
"0","Setup","0","","18","0","Authentication","0"
"0","Setup","0","","3","0","Cleanup","0"
"4","6. Miscellaneous","1","","13","0","","0"
"30","7. Proposal submission","4","","2","0","","0"
"0","1. Wallet connect","0","","5","0","","0"
"0","Setup","0","","1","0","Proposal","0"
"0","Setup","0","","1","0","Faucet","0"
"0","Setup","0","","2","0","Register DRep","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
