"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","2. Delegation","8","","20","0","","0"
"0","5. Proposal functionality","5","","7","0","","0"
"6","7. Proposal submission","1","","31","0","","0"
"0","6. Miscellaneous","0","","10","0","","0"
"0","9. Outcomes","2","","24","0","","0"
"26","12. Proposal Budget Submission","0","","2","0","","0"
"0","10. User Snap","0","","5","0","","0"
"0","Setup","0","","25","0","Authentication","0"
"5","3. DRep registration","5","","13","0","","0"
"0","6. Miscellaneous","6","","64","0","6A. Should be accessible from mobile","0"
"7","11. Proposal Budget","0","","9","0","","0"
"2","4. Proposal visibility","4","","15","0","","0"
"0","1. Wallet connect","0","","5","0","","0"
"2","8. Proposal Discussion Forum","2","","13","0","","0"
"0","Setup","3","","1","0","Cleanup","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
"0","Setup","0","","1","0","Proposal","0"
"0","","0","","0","1","","0"
"0","Setup","0","","3","0","Register DRep","0"
