"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"4. Proposal visibility","","","2","1","11","1","0"
"8. Proposal Discussion Forum","","","0","0","17","0","0"
"Setup","","Authentication","0","0","16","0","0"
"6. Miscellaneous","","6A. Should be accessible from mobile","3","6","17","0","0"
"5. Proposal functionality","","","2","5","4","0","0"
"3. DRep registration","","","2","14","4","0","0"
"2. Delegation","","","2","1","22","1","0"
"7. Proposal submission","","","1","0","20","0","0"
"1. Wallet connect","","","0","0","5","0","0"
"6. Miscellaneous","","","4","5","7","0","0"
"Setup","","Wallet bootstrap","0","0","1","0","0"
"Setup","","Faucet","0","0","1","0","0"
"Setup","","Register DRep","0","0","2","0","0"
"Setup","","Cleanup","0","0","1","0","0"
"Setup","","proposal","0","0","1","0","0"
