"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","98705","12E_5. Should accept valid data in “further information” section","budget proposal","Tue Aug 19 01:07:40 UTC 2025","passed","Tue Aug 19 01:09:19 UTC 2025","Budget proposal 01 wallet > Budget proposal with proposalSubmissionPageNavigation > Budget proposal field validation","12-proposal-budget-submission/proposalBudgetSubmission.loggedin.pb.spec.ts","",""
"","22541","Create Budget Proposal 01 auth","budget proposal auth setup","Tue Aug 19 00:27:10 UTC 2025","passed","Tue Aug 19 00:27:32 UTC 2025","","proposal-budget.auth.setup.ts","",""
"","12853","2L. Should copy DRepId","mobile","Tue Aug 19 00:40:03 UTC 2025","passed","Tue Aug 19 00:40:16 UTC 2025","DRep dependent tests","2-delegation/delegation.spec.ts","",""
"","31984","7G_4. Should create a proposal with proper motion of no confidence data","proposal discussion (loggedin)","Tue Aug 19 00:51:30 UTC 2025","passed","Tue Aug 19 00:52:02 UTC 2025","Proposal created logged state > Create a proposal with proper data","7-proposal-submission/proposalSubmission.loggedin.pd.spec.ts","",""
"","9996","6D. Should open Sanchonet docs in a new tab when clicking `Learn More` on dashboards in disconnected state.","independent (desktop)","Tue Aug 19 00:33:18 UTC 2025","passed","Tue Aug 19 00:33:28 UTC 2025","","6-miscellaneous/miscellaneous.spec.ts","",""
"","26376","11J. Should reply to any comments","budget proposal","Tue Aug 19 01:02:36 UTC 2025","passed","Tue Aug 19 01:03:02 UTC 2025","Budget proposal logged in state","11-proposal-budget/proposalBudget.loggedin.pb.spec.ts","",""
"","360064","7K. Should reject invalid proposal metadata","proposal submission","Tue Aug 19 01:17:28 UTC 2025","broken","Tue Aug 19 01:23:28 UTC 2025","Proposed as a governance action","7-proposal-submission/proposalSubmission.ga.spec.ts","",""
"","22608","7I_4. Should valid review submission in motion of no confidence Proposal form","proposal discussion (loggedin)","Tue Aug 19 00:52:30 UTC 2025","passed","Tue Aug 19 00:52:53 UTC 2025","Proposal created logged state > Review fillup form","7-proposal-submission/proposalSubmission.loggedin.pd.spec.ts","",""
"","8908","8S. Should restrict proposal creation on disconnected state","independent (desktop)","Tue Aug 19 00:34:38 UTC 2025","passed","Tue Aug 19 00:34:46 UTC 2025","","8-proposal-discussion/proposalDiscussion.spec.ts","",""
"","110768","5E. Should re-vote with change vote on an already voted governance action","dRep","Tue Aug 19 01:28:11 UTC 2025","passed","Tue Aug 19 01:30:02 UTC 2025","Perform voting","5-proposal-functionality/proposalFunctionality.dRep.spec.ts","",""
"","13185","3J. Should verify retire as DRep","dRep","Tue Aug 19 01:23:30 UTC 2025","passed","Tue Aug 19 01:23:44 UTC 2025","Temporary DReps","3-drep-registration/dRepRegistration.dRep.spec.ts","",""
"","10675","9E_2. Should verify all of the displayed governance actions have expired","loggedin (desktop)","Tue Aug 19 01:13:38 UTC 2025","passed","Tue Aug 19 01:13:48 UTC 2025","Outcomes page","9-outcomes/outcomes.loggedin.spec.ts","",""
"","180362","7G_3. Should create a proposal with proper updates to the constitution data","proposal discussion (loggedin)","Tue Aug 19 00:50:55 UTC 2025","broken","Tue Aug 19 00:53:55 UTC 2025","Proposal created logged state > Create a proposal with proper data","7-proposal-submission/proposalSubmission.loggedin.pd.spec.ts","",""
"","9118","1C. Should disconnect Wallet When connected","independent (desktop)","Tue Aug 19 00:29:42 UTC 2025","passed","Tue Aug 19 00:29:51 UTC 2025","","1-wallet-connect/walletConnect.spec.ts","",""
"","9103","10B. Should verify a bug report form","independent (desktop)","Tue Aug 19 00:29:51 UTC 2025","passed","Tue Aug 19 00:30:00 UTC 2025","","10-user-snap/userSnap.spec.ts","",""
"","208321","3K. Verify DRep behavior in retired state","dRep","Tue Aug 19 01:23:44 UTC 2025","passed","Tue Aug 19 01:27:12 UTC 2025","Temporary DReps","3-drep-registration/dRepRegistration.dRep.spec.ts","",""
