"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","6. Miscellaneous","0","","10","0","","0"
"0","9. Outcomes","4","","22","0","","0"
"0","12. Proposal Budget Submission","0","","28","0","","0"
"0","2. Delegation","1","","28","0","","0"
"1","6. Miscellaneous","6","","63","0","6A. Should be accessible from mobile","0"
"0","Setup","0","","26","0","Authentication","0"
"5","4. Proposal visibility","1","","15","0","","0"
"5","7. Proposal submission","1","","28","4","","0"
"0","11. Proposal Budget","1","","15","0","","0"
"0","3. DRep registration","3","","20","0","","0"
"1","8. Proposal Discussion Forum","0","","16","0","","0"
"0","Setup","0","","4","0","Cleanup","0"
"0","10. User Snap","0","","5","0","","0"
"3","5. Proposal functionality","5","","4","0","","0"
"0","Setup","0","","3","0","Register DRep","0"
"0","1. Wallet connect","0","","5","0","","0"
"0","Setup","0","","1","0","Proposal","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
