"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","6. Miscellaneous","2","","33","0","6A. Should be accessible from mobile","0"
"0","","0","","0","98","","0"
"0","Setup","0","","2","0","Register DRep","0"
"0","2. Delegation","2","","7","0","","0"
"0","6. Miscellaneous","0","","10","0","","0"
"0","7. Proposal submission","2","","1","0","","0"
"1","1. Wallet connect","0","","3","0","","0"
"0","8. Proposal Discussion Forum","0","","10","0","","0"
"0","4. Proposal visibility","0","","3","0","","0"
"1","Setup","4","","11","0","Authentication","0"
"0","Setup","0","","3","0","Cleanup","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
"0","5. Proposal functionality","0","","2","0","","0"
"0","Setup","0","","1","0","Faucet","0"
"0","3. DRep registration","0","","1","0","","0"
