"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"2. Delegation","","","3","0","23","0","0"
"3. DRep registration","","","1","2","17","0","0"
"6. Miscellaneous","","6A. Should be accessible from mobile","4","2","13","0","0"
"Setup","","Wallet bootstrap","0","0","1","0","0"
"7. Proposal submission","","","9","0","10","0","0"
"Proposal Discussion Forum","","","4","2","3","0","0"
"Setup","","Authentication","0","0","10","0","0"
"4. Proposal visibility","","","0","0","14","1","0"
"6. Miscellaneous","","","2","1","5","0","0"
"Setup","","Cleanup","0","0","1","0","0"
"","","","0","9","0","0","0"
"5. Proposal functionality","","","0","0","11","0","0"
"Setup","","Faucet","0","0","1","0","0"
"1. Wallet connect","","","1","0","4","0","0"
"Setup","","Register DRep","0","0","2","0","0"
"Setup","","proposal","0","0","1","0","0"
