"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"4. Proposal visibility","","","1","6","4","0","0"
"2. Delegation","","","0","5","2","0","0"
"6. Miscellaneous","","","3","3","9","0","0"
"3. DRep registration","","","0","8","1","0","0"
"6. Miscellaneous","","6A. Should be accessible from mobile","0","4","22","0","0"
"","","","0","0","0","46","0"
"Setup","","Authentication","0","0","11","0","0"
"5. Proposal functionality","","","0","0","1","0","0"
"1. Wallet connect","","","0","0","5","0","0"
"7. Proposal submission","","","8","3","9","0","0"
"8. Proposal Discussion Forum","","","2","4","11","0","0"
"Setup","","Register DRep","2","0","0","0","0"
"Setup","","Wallet bootstrap","1","0","0","0","0"
"Setup","","proposal","1","0","0","0","0"
"Setup","","Cleanup","1","0","0","0","0"
"Setup","","Faucet","0","0","1","0","0"
