"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"7. Proposal submission","","","3","2","16","0","0"
"4. Proposal visibility","","","2","1","11","1","0"
"2. Delegation","","","1","0","24","1","0"
"8. Proposal Discussion Forum","","","0","1","16","0","0"
"6. Miscellaneous","","","1","1","14","0","0"
"Setup","","Authentication","0","0","16","0","0"
"5. Proposal functionality","","","2","5","4","0","0"
"6. Miscellaneous","","6A. Should be accessible from mobile","0","3","23","0","0"
"3. DRep registration","","","2","0","18","0","0"
"Setup","","proposal","0","0","1","0","0"
"Setup","","Register DRep","0","0","2","0","0"
"1. Wallet connect","","","0","0","5","0","0"
"Setup","","Faucet","0","0","1","0","0"
"Setup","","Cleanup","0","0","1","0","0"
"Setup","","Wallet bootstrap","0","0","1","0","0"
