"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","2. Delegation","4","","25","0","","0"
"0","1. Wallet connect","0","","5","0","","0"
"0","6. Miscellaneous","6","","64","0","6A. Should be accessible from mobile","0"
"0","11. Proposal Budget","1","","15","0","","0"
"0","Setup","0","","23","0","Authentication","0"
"0","4. Proposal visibility","2","","19","0","","0"
"0","7. Proposal submission","4","","32","0","","0"
"0","12. Proposal Budget Submission","1","","15","0","","0"
"0","6. Miscellaneous","0","","12","0","","0"
"0","8. Proposal Discussion Forum","1","","17","0","","0"
"1","3. DRep registration","5","","15","0","","0"
"0","9. Outcomes","4","","9","0","","0"
"0","5. Proposal functionality","5","","7","0","","0"
"0","Setup","0","","3","0","Cleanup","0"
"0","Setup","0","","2","0","Register DRep","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
"0","Setup","0","","1","0","Proposal","0"
"0","10. User Snap","0","","5","0","","0"
"0","Setup","0","","1","0","Faucet","0"
