"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","6. Miscellaneous","0","","10","0","","0"
"2","6. Miscellaneous","6","","62","0","6A. Should be accessible from mobile","0"
"3","5. Proposal functionality","5","","4","0","","0"
"0","3. DRep registration","4","","19","0","","0"
"0","12. Proposal Budget Submission","0","","28","0","","0"
"2","9. Outcomes","3","","21","0","","0"
"0","Setup","0","","1","0","Proposal","0"
"8","7. Proposal submission","1","","25","4","","0"
"0","2. Delegation","3","","26","0","","0"
"0","Setup","0","","26","0","Authentication","0"
"4","4. Proposal visibility","1","","16","0","","0"
"0","1. Wallet connect","0","","5","0","","0"
"0","Setup","0","","3","0","Register DRep","0"
"0","8. Proposal Discussion Forum","0","","17","0","","0"
"0","10. User Snap","0","","5","0","","0"
"0","11. Proposal Budget","1","","15","0","","0"
"0","Setup","0","","4","0","Cleanup","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
