"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"3","4. Proposal visibility","4","","14","0","","0"
"0","7. Proposal submission","1","","35","0","","0"
"0","8. Proposal Discussion Forum","1","","17","0","","0"
"0","6. Miscellaneous","9","","51","0","6A. Should be accessible from mobile","0"
"1","2. Delegation","9","","18","0","","0"
"0","9. Outcomes","6","","7","0","","0"
"1","5. Proposal functionality","8","","3","0","","0"
"7","3. DRep registration","3","","11","0","","0"
"0","10. User Snap","0","","5","0","","0"
"0","Setup","0","","18","0","Authentication","0"
"0","6. Miscellaneous","1","","11","0","","0"
"0","Setup","0","","2","0","Register DRep","0"
"0","Setup","0","","3","0","Cleanup","0"
"0","Setup","0","","1","0","Faucet","0"
"0","1. Wallet connect","0","","5","0","","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
"0","Setup","0","","1","0","Proposal","0"
"0","","0","","0","1","","0"
