"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"3. DRep registration","","","4","2","14","0","0"
"4. Proposal visibility","","","2","0","12","1","0"
"6. Miscellaneous","","6A. Should be accessible from mobile","2","0","8","0","0"
"7. Proposal submission","","","10","0","9","0","0"
"Setup","","Authentication","0","0","9","0","0"
"6. Miscellaneous","","","4","0","2","0","0"
"2. Delegation","","","7","1","16","0","0"
"5. Proposal functionality","","","0","0","11","0","0"
"Setup","","proposal","0","0","1","0","0"
"","","","0","0","0","2","0"
"Setup","","Wallet bootstrap","0","0","1","0","0"
"1. Wallet connect","","","1","0","4","0","0"
"Setup","","Cleanup","0","0","1","0","0"
"Setup","","Faucet","0","0","1","0","0"
"Setup","","Register DRep","0","0","2","0","0"
