"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","6. Miscellaneous","0","","29","0","6A. Should be accessible from mobile","0"
"0","8. Proposal Discussion Forum","1","","17","0","","0"
"0","Setup","0","","2","0","Register DRep","0"
"8","2. Delegation","5","","11","1","","0"
"0","6. Miscellaneous","0","","18","0","","0"
"0","Setup","0","","16","0","Authentication","0"
"0","1. Wallet connect","0","","5","0","","0"
"4","5. Proposal functionality","2","","6","0","","0"
"0","7. Proposal submission","1","","19","0","","0"
"0","3. DRep registration","5","","16","0","","0"
"0","4. Proposal visibility","2","","14","1","","0"
"0","Setup","1","","0","0","proposal","0"
"0","","0","","0","3","","0"
"0","Setup","0","","3","0","Cleanup","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
"0","Setup","0","","1","0","Faucet","0"
