"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","11. Proposal Budget","0","","16","0","","0"
"0","2. Delegation","5","","24","0","","0"
"1","6. Miscellaneous","7","","62","0","6A. Should be accessible from mobile","0"
"0","12. Proposal Budget Submission","0","","28","0","","0"
"4","8. Proposal Discussion Forum","1","","12","0","","0"
"0","9. Outcomes","4","","22","0","","0"
"0","1. Wallet connect","0","","5","0","","0"
"0","6. Miscellaneous","0","","10","0","","0"
"0","10. User Snap","0","","5","0","","0"
"0","4. Proposal visibility","4","","17","0","","0"
"6","7. Proposal submission","1","","33","5","","0"
"0","Setup","0","","3","0","Register DRep","0"
"0","Setup","0","","26","0","Authentication","0"
"0","5. Proposal functionality","1","","11","0","","0"
"0","3. DRep registration","6","","17","0","","0"
"0","Setup","0","","4","0","Cleanup","0"
"0","Setup","0","","1","0","Proposal","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
