"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"2. Delegation","","","5","1","20","1","0"
"3. DRep registration","","","8","0","13","0","0"
"7. Proposal submission","","","2","0","19","0","0"
"5. Proposal functionality","","","2","5","5","0","0"
"6. Miscellaneous","","6A. Should be accessible from mobile","0","1","28","0","0"
"Setup","","Register DRep","0","0","2","0","0"
"6. Miscellaneous","","","0","0","18","0","0"
"Setup","","Authentication","0","0","16","0","0"
"8. Proposal Discussion Forum","","","1","0","16","0","0"
"1. Wallet connect","","","0","0","5","0","0"
"Setup","","Cleanup","0","0","3","0","0"
"4. Proposal visibility","","","0","3","13","1","0"
"Setup","","proposal","0","0","1","0","0"
"Setup","","Wallet bootstrap","0","0","1","0","0"
"Setup","","Faucet","0","0","1","0","0"
