"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"7","3. DRep registration","3","","11","0","","0"
"2","8. Proposal Discussion Forum","1","","15","0","","0"
"0","12. Proposal Budget Submission","1","","15","0","","0"
"1","2. Delegation","9","","18","0","","0"
"0","9. Outcomes","3","","10","0","","0"
"2","6. Miscellaneous","9","","59","0","6A. Should be accessible from mobile","0"
"2","7. Proposal submission","0","","30","0","","0"
"2","4. Proposal visibility","8","","11","0","","0"
"0","1. Wallet connect","0","","5","0","","0"
"0","Setup","0","","23","0","Authentication","0"
"3","11. Proposal Budget","0","","13","0","","0"
"3","5. Proposal functionality","8","","1","0","","0"
"0","","0","","0","5","","0"
"0","Setup","0","","3","0","Cleanup","0"
"0","6. Miscellaneous","1","","11","0","","0"
"0","Setup","0","","2","0","Register DRep","0"
"0","Setup","0","","1","0","Faucet","0"
"0","10. User Snap","0","","5","0","","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
"0","Setup","1","","0","0","Proposal","0"
