"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","6. Miscellaneous","0","","10","0","","0"
"0","11. Proposal Budget","1","","15","0","","0"
"0","Setup","0","","26","0","Authentication","0"
"1","5. Proposal functionality","2","","9","0","","0"
"5","6. Miscellaneous","6","","59","0","6A. Should be accessible from mobile","0"
"0","Setup","0","","4","0","Cleanup","0"
"3","4. Proposal visibility","3","","16","0","","0"
"8","7. Proposal submission","2","","24","4","","0"
"0","2. Delegation","1","","28","0","","0"
"4","8. Proposal Discussion Forum","1","","12","0","","0"
"0","10. User Snap","0","","5","0","","0"
"0","3. DRep registration","3","","20","0","","0"
"0","Setup","0","","3","0","Register DRep","0"
"8","9. Outcomes","2","","16","0","","0"
"0","12. Proposal Budget Submission","0","","28","0","","0"
"0","1. Wallet connect","0","","5","0","","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
"0","Setup","0","","1","0","Proposal","0"
