"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"6. Miscellaneous","","","0","0","16","0","0"
"2. Delegation","","","12","3","9","0","0"
"Setup","","Authentication","0","0","16","0","0"
"6. Miscellaneous","","6A. Should be accessible from mobile","0","4","22","0","0"
"3. DRep registration","","","4","6","10","0","0"
"7. Proposal submission","","","2","5","13","0","0"
"1. Wallet connect","","","0","0","5","0","0"
"4. Proposal visibility","","","0","2","12","1","0"
"5. Proposal functionality","","","2","2","7","0","0"
"8. Proposal Discussion Forum","","","0","4","13","0","0"
"Setup","","Wallet bootstrap","0","0","1","0","0"
"Setup","","Faucet","0","0","1","0","0"
"Setup","","Register DRep","0","0","2","0","0"
"","","","0","0","0","3","0"
"Setup","","proposal","1","0","0","0","0"
"Setup","","Cleanup","0","0","1","0","0"
