"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"9","6. Miscellaneous","5","","56","0","6A. Should be accessible from mobile","0"
"3","5. Proposal functionality","5","","4","0","","0"
"4","4. Proposal visibility","1","","16","0","","0"
"8","9. Outcomes","2","","16","0","","0"
"7","7. Proposal submission","2","","29","0","","0"
"0","12. Proposal Budget Submission","0","","28","0","","0"
"0","Setup","0","","1","0","Proposal","0"
"0","11. Proposal Budget","0","","16","0","","0"
"0","Setup","0","","26","0","Authentication","0"
"0","3. DRep registration","5","","18","0","","0"
"0","2. Delegation","2","","27","0","","0"
"0","Setup","0","","4","0","Cleanup","0"
"1","8. Proposal Discussion Forum","0","","16","0","","0"
"0","6. Miscellaneous","0","","10","0","","0"
"0","1. Wallet connect","0","","5","0","","0"
"0","Setup","0","","3","0","Register DRep","0"
"4","10. User Snap","1","","0","0","","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
