"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","6. Miscellaneous","9","","59","0","6A. Should be accessible from mobile","0"
"1","7. Proposal submission","0","","35","0","","0"
"0","9. Outcomes","4","","9","0","","0"
"0","4. Proposal visibility","5","","16","0","","0"
"0","3. DRep registration","1","","20","0","","0"
"3","11. Proposal Budget","0","","13","0","","0"
"2","5. Proposal functionality","1","","9","0","","0"
"2","8. Proposal Discussion Forum","1","","15","0","","0"
"1","12. Proposal Budget Submission","3","","8","12","","0"
"0","10. User Snap","0","","5","0","","0"
"0","2. Delegation","1","","28","0","","0"
"0","Setup","0","","3","0","Cleanup","0"
"0","6. Miscellaneous","0","","12","0","","0"
"0","Setup","0","","2","0","Register DRep","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
"0","Setup","0","","23","0","Authentication","0"
"0","1. Wallet connect","0","","5","0","","0"
"0","Setup","0","","1","0","Proposal","0"
"0","Setup","0","","1","0","Faucet","0"
